prox_threshold, min_AP_overlap, correct, missed, false
1,2,0,1.2969e+05,0
1,2,36,1.2965e+05,175
1,2,0,1.2969e+05,0
1,2,36,1.2965e+05,175
1,2,0,1.2969e+05,0
6,5,3459,1.2623e+05,10836
1,2,0,1.2969e+05,0
8,3,24561,1.0513e+05,1.6556e+05
1,2,36,1.2965e+05,175
5,7,906,1.2878e+05,2346
2,6,3,1.2969e+05,2
1,5,0,1.2969e+05,0
1,2,0,1.2969e+05,0
2,7,36,1.2965e+05,58
6,6,3345,1.2634e+05,6789
3,3,180,1.2951e+05,243
1,2,36,1.2965e+05,175
1,2,0,1.2969e+05,0
1,2,36,1.2965e+05,175
1,6,0,1.2969e+05,3
2,4,217,1.2947e+05,380
8,4,8465,1.2122e+05,31229
4,3,1702,1.2799e+05,4993
1,2,0,1.2969e+05,0
1,2,36,1.2965e+05,175
1,2,0,1.2969e+05,0
1,2,36,1.2965e+05,175
6,2,4535,1.2516e+05,16240
1,2,36,1.2965e+05,175
2,3,3,1.2969e+05,5
4,6,774,1.2892e+05,2249
1,2,0,1.2969e+05,0
1,2,36,1.2965e+05,175
7,2,14652,1.1504e+05,70865
3,5,630,1.2906e+05,1316
1,2,36,1.2965e+05,175
4,2,716,1.2897e+05,852
1,2,0,1.2969e+05,0
3,4,110,1.2958e+05,113
1,3,28,1.2966e+05,72
1,2,36,1.2965e+05,175
1,2,36,1.2965e+05,175
3,2,966,1.2872e+05,3014
1,2,0,1.2969e+05,0
2,5,29,1.2966e+05,43
1,2,0,1.2969e+05,0
1,2,0,1.2969e+05,0
1,2,0,1.2969e+05,0
1,2,36,1.2965e+05,175
1,4,0,1.2969e+05,0
1,2,0,1.2969e+05,0
7,6,4051,1.2564e+05,15034
5,4,2396,1.2729e+05,6539
1,2,0,1.2969e+05,0
6,4,7267,1.2242e+05,22220
7,3,6657,1.2303e+05,23725
1,2,0,1.2969e+05,0
1,2,0,1.2969e+05,0
1,2,36,1.2965e+05,175
5,3,2844,1.2685e+05,4744
1,2,0,1.2969e+05,0
7,7,6807,1.2288e+05,17155
4,7,397,1.2929e+05,503
4,5,712,1.2898e+05,837
8,6,24468,1.0522e+05,1.6145e+05
1,2,0,1.2969e+05,0
1,2,0,1.2969e+05,0
8,7,4812,1.2488e+05,16749
6,7,7091,1.226e+05,20601
1,2,0,1.2969e+05,0
2,2,29,1.2966e+05,48
1,2,0,1.2969e+05,0
3,6,126,1.2956e+05,118
4,4,602,1.2909e+05,841
1,2,0,1.2969e+05,0
7,4,7498,1.2219e+05,19671
1,2,0,1.2969e+05,0
6,3,3619,1.2607e+05,7878
1,2,0,1.2969e+05,0
7,5,14623,1.1507e+05,69368
5,6,2814,1.2688e+05,4429
8,5,13889,1.158e+05,43374
1,7,0,1.2969e+05,0
1,2,0,1.2969e+05,0
3,7,104,1.2959e+05,88
5,2,1589,1.281e+05,2754
1,2,0,1.2969e+05,0
8,2,14037,1.1565e+05,44635
1,2,0,1.2969e+05,0
5,5,1576,1.2811e+05,2586
