floor, building, prox_db, percentage_relgain_error
-1,0,2,100
-1,0,3,100
-1,0,4,100
-1,0,5,72.708
-1,0,7,73.462
-1,0,10,65.787
0,0,2,100
0,0,3,100
0,0,4,100
0,0,5,100
0,0,7,74.237
0,0,10,55.895
1,0,2,100
1,0,3,100
1,0,4,100
1,0,5,100
1,0,7,83.475
1,0,10,80.546
2,0,2,100
2,0,3,100
2,0,4,100
2,0,5,100
2,0,7,116.54
2,0,10,87.032
3,0,2,100
3,0,3,100
3,0,4,100
3,0,5,73.134
3,0,7,67.365
3,0,10,52.938
-1,1,2,100
-1,1,3,102.34
-1,1,4,118.97
-1,1,5,115.32
-1,1,7,156.05
-1,1,10,266.39
0,1,2,100
0,1,3,108.95
0,1,4,124.64
0,1,5,132.17
0,1,7,137.19
0,1,10,136.76
1,1,2,100
1,1,3,100
1,1,4,95.74
1,1,5,93.058
1,1,7,90.628
1,1,10,65.536
2,1,2,100
2,1,3,100
2,1,4,100.31
2,1,5,97.956
2,1,7,75.028
2,1,10,50.703
3,1,2,100
3,1,3,114.56
3,1,4,159.57
3,1,5,114.25
3,1,7,99.447
3,1,10,275.14
-1,2,2,100
-1,2,3,98.57
-1,2,4,96.877
-1,2,5,91.746
-1,2,7,96.468
-1,2,10,182.02
0,2,2,100
0,2,3,95.153
0,2,4,91.077
0,2,5,81.46
0,2,7,57.223
0,2,10,33.04
1,2,2,100
1,2,3,100
1,2,4,100
1,2,5,100.37
1,2,7,84.79
1,2,10,71.462
2,2,2,100
2,2,3,100
2,2,4,100
2,2,5,20.312
2,2,7,38.635
2,2,10,175.84
3,2,2,100
3,2,3,100
3,2,4,97.46
3,2,5,86.459
3,2,7,84.84
3,2,10,122.82
