floor,building,prox_threshold,min_AP_overlap,gain_error
0,0,2,1,7.5266
0,0,2,2,7.5266
0,0,2,3,7.5266
0,0,2,4,7.5266
0,0,2,5,7.5266
0,0,3,1,7.5266
0,0,3,2,7.5266
0,0,3,3,7.5266
0,0,3,4,7.5266
0,0,3,5,7.5266
0,0,4,1,7.5266
0,0,4,2,7.5266
0,0,4,3,7.5266
0,0,4,4,7.5266
0,0,4,5,7.5266
0,0,5,1,7.5266
0,0,5,2,7.5266
0,0,5,3,7.5266
0,0,5,4,7.5266
0,0,5,5,7.5266
0,0,7,1,5.5875
0,0,7,2,5.5875
0,0,7,3,5.5875
0,0,7,4,5.5875
0,0,7,5,5.5875
0,0,10,1,4.207
0,0,10,2,4.207
0,0,10,3,4.207
0,0,10,4,4.207
0,0,10,5,4.207
1,0,2,1,7.5553
1,0,2,2,7.5553
1,0,2,3,7.5553
1,0,2,4,7.5553
1,0,2,5,7.5553
1,0,3,1,7.5553
1,0,3,2,7.5553
1,0,3,3,7.5553
1,0,3,4,7.5553
1,0,3,5,7.5553
1,0,4,1,7.5553
1,0,4,2,7.5553
1,0,4,3,7.5553
1,0,4,4,7.5553
1,0,4,5,7.5553
1,0,5,1,7.5553
1,0,5,2,7.5553
1,0,5,3,7.5553
1,0,5,4,7.5553
1,0,5,5,7.5553
1,0,7,1,6.3068
1,0,7,2,6.3068
1,0,7,3,6.3068
1,0,7,4,6.3068
1,0,7,5,6.3068
1,0,10,1,6.0855
1,0,10,2,6.0855
1,0,10,3,6.0855
1,0,10,4,6.0855
1,0,10,5,6.0855
2,0,2,1,7.2841
2,0,2,2,7.2841
2,0,2,3,7.2841
2,0,2,4,7.2841
2,0,2,5,7.2841
2,0,3,1,7.2841
2,0,3,2,7.2841
2,0,3,3,7.2841
2,0,3,4,7.2841
2,0,3,5,7.2841
2,0,4,1,7.2841
2,0,4,2,7.2841
2,0,4,3,7.2841
2,0,4,4,7.2841
2,0,4,5,7.2841
2,0,5,1,7.2841
2,0,5,2,7.2841
2,0,5,3,7.2841
2,0,5,4,7.2841
2,0,5,5,7.2841
2,0,7,1,8.4888
2,0,7,2,8.4888
2,0,7,3,8.4888
2,0,7,4,8.4888
2,0,7,5,8.4888
2,0,10,1,6.3395
2,0,10,2,6.3395
2,0,10,3,6.3395
2,0,10,4,6.3395
2,0,10,5,6.3395
3,0,2,1,7.6063
3,0,2,2,7.6063
3,0,2,3,7.6063
3,0,2,4,7.6063
3,0,2,5,7.6063
3,0,3,1,7.6063
3,0,3,2,7.6063
3,0,3,3,7.6063
3,0,3,4,7.6063
3,0,3,5,7.6063
3,0,4,1,7.6063
3,0,4,2,7.6063
3,0,4,3,7.6063
3,0,4,4,7.6063
3,0,4,5,7.6063
3,0,5,1,5.5628
3,0,5,2,5.5628
3,0,5,3,5.5628
3,0,5,4,5.5628
