num_strongest_APs, min_AP_strength, min_strong_overlap, correct, missed, false
4,-90,6,0,1.2969e+05,0
4,-80,6,0,1.2969e+05,0
4,-100,5,0,1.2969e+05,0
4,-80,6,0,1.2969e+05,0
4,-90,5,0,1.2969e+05,0
4,-80,3,23707,1.0598e+05,2.8942e+05
4,-90,4,0,1.2969e+05,0
4,-100,2,66406,63284,1.2e+06
4,-80,5,0,1.2969e+05,0
4,-80,4,0,1.2969e+05,0
4,-100,3,25803,1.0389e+05,3.2901e+05
4,-100,3,25803,1.0389e+05,3.2901e+05
4,-90,5,0,1.2969e+05,0
4,-80,4,0,1.2969e+05,0
4,-90,4,0,1.2969e+05,0
4,-90,2,66118,63572,1.1867e+06
4,-80,4,0,1.2969e+05,0
4,-100,5,0,1.2969e+05,0
4,-80,5,0,1.2969e+05,0
4,-80,3,23707,1.0598e+05,2.8942e+05
4,-80,2,59055,70635,1.0303e+06
4,-80,3,23707,1.0598e+05,2.8942e+05
4,-80,2,59055,70635,1.0303e+06
4,-100,6,0,1.2969e+05,0
4,-80,6,0,1.2969e+05,0
4,-90,5,0,1.2969e+05,0
4,-80,6,0,1.2969e+05,0
4,-80,2,59055,70635,1.0303e+06
4,-80,4,0,1.2969e+05,0
4,-100,2,66406,63284,1.2e+06
4,-80,3,23707,1.0598e+05,2.8942e+05
4,-100,6,0,1.2969e+05,0
4,-80,5,0,1.2969e+05,0
4,-100,2,66406,63284,1.2e+06
4,-80,3,23707,1.0598e+05,2.8942e+05
4,-80,6,0,1.2969e+05,0
4,-100,2,66406,63284,1.2e+06
4,-100,6,0,1.2969e+05,0
4,-100,3,25803,1.0389e+05,3.2901e+05
4,-80,2,59055,70635,1.0303e+06
4,-80,5,0,1.2969e+05,0
4,-80,5,0,1.2969e+05,0
4,-80,2,59055,70635,1.0303e+06
4,-90,5,0,1.2969e+05,0
4,-90,3,25734,1.0396e+05,3.27e+05
4,-100,5,0,1.2969e+05,0
4,-90,6,0,1.2969e+05,0
4,-100,5,0,1.2969e+05,0
4,-80,6,0,1.2969e+05,0
4,-90,2,66118,63572,1.1867e+06
4,-90,6,0,1.2969e+05,0
4,-80,4,0,1.2969e+05,0
4,-80,3,23707,1.0598e+05,2.8942e+05
4,-90,6,0,1.2969e+05,0
4,-100,3,25803,1.0389e+05,3.2901e+05
4,-80,2,59055,70635,1.0303e+06
4,-100,2,66406,63284,1.2e+06
4,-90,6,0,1.2969e+05,0
4,-80,5,0,1.2969e+05,0
4,-100,2,66406,63284,1.2e+06
4,-100,6,0,1.2969e+05,0
4,-90,4,0,1.2969e+05,0
4,-90,4,0,1.2969e+05,0
4,-100,3,25803,1.0389e+05,3.2901e+05
4,-100,4,0,1.2969e+05,0
4,-100,6,0,1.2969e+05,0
4,-90,5,0,1.2969e+05,0
4,-80,4,0,1.2969e+05,0
4,-100,4,0,1.2969e+05,0
4,-100,5,0,1.2969e+05,0
4,-90,2,66118,63572,1.1867e+06
4,-100,4,0,1.2969e+05,0
4,-90,3,25734,1.0396e+05,3.27e+05
4,-90,3,25734,1.0396e+05,3.27e+05
4,-90,4,0,1.2969e+05,0
4,-90,3,25734,1.0396e+05,3.27e+05
4,-90,5,0,1.2969e+05,0
4,-90,2,66118,63572,1.1867e+06
4,-100,4,0,1.2969e+05,0
4,-100,3,25803,1.0389e+05,3.2901e+05
4,-100,4,0,1.2969e+05,0
4,-90,3,25734,1.0396e+05,3.27e+05
4,-90,4,0,1.2969e+05,0
4,-100,6,0,1.2969e+05,0
4,-100,4,0,1.2969e+05,0
4,-90,2,66118,63572,1.1867e+06
4,-100,5,0,1.2969e+05,0
4,-90,2,66118,63572,1.1867e+06
4,-90,6,0,1.2969e+05,0
4,-90,3,25734,1.0396e+05,3.27e+05
