floor,building,num_strongest_APs,min_AP_strength,min_strong_overlap,gain_error
0,0,2,-100,2,7.5266
0,0,2,-100,3,7.5266
0,0,2,-100,4,7.5266
0,0,2,-100,5,7.5266
0,0,2,-100,6,7.5266
0,0,3,-100,2,2.2231
0,0,3,-100,3,7.5266
0,0,3,-100,4,7.5266
0,0,3,-100,5,7.5266
0,0,3,-100,6,7.5266
0,0,4,-100,2,2.3754
0,0,4,-100,3,2.1769
0,0,4,-100,4,7.5266
0,0,4,-100,5,7.5266
0,0,4,-100,6,7.5266
0,0,5,-100,2,2.0539
0,0,5,-100,3,1.9485
0,0,5,-100,4,2.6193
0,0,5,-100,5,7.5266
0,0,5,-100,6,7.5266
0,0,7,-100,2,0.54612
0,0,7,-100,3,1.5002
0,0,7,-100,4,0.83338
0,0,7,-100,5,0.43176
0,0,7,-100,6,0.94062
0,0,10,-100,2,0.27757
0,0,10,-100,3,0.51236
0,0,10,-100,4,0.65301
0,0,10,-100,5,0.41711
0,0,10,-100,6,0.45043
0,0,2,-90,2,7.5266
0,0,2,-90,3,7.5266
0,0,2,-90,4,7.5266
0,0,2,-90,5,7.5266
0,0,2,-90,6,7.5266
0,0,3,-90,2,2.5136
0,0,3,-90,3,7.5266
0,0,3,-90,4,7.5266
0,0,3,-90,5,7.5266
0,0,3,-90,6,7.5266
0,0,4,-90,2,2.6802
0,0,4,-90,3,2.3979
0,0,4,-90,4,7.5266
0,0,4,-90,5,7.5266
0,0,4,-90,6,7.5266
0,0,5,-90,2,2.491
0,0,5,-90,3,2.1995
0,0,5,-90,4,2.8599
0,0,5,-90,5,7.5266
0,0,5,-90,6,7.5266
0,0,7,-90,2,1.8075
0,0,7,-90,3,2.1728
0,0,7,-90,4,1.3259
0,0,7,-90,5,0.91169
0,0,7,-90,6,0.94039
0,0,10,-90,2,2.0429
0,0,10,-90,3,2.0221
0,0,10,-90,4,1.6239
0,0,10,-90,5,1.2368
0,0,10,-90,6,1.0166
0,0,2,-80,2,7.5266
0,0,2,-80,3,7.5266
0,0,2,-80,4,7.5266
0,0,2,-80,5,7.5266
0,0,2,-80,6,7.5266
0,0,3,-80,2,1.9359
0,0,3,-80,3,7.5266
0,0,3,-80,4,7.5266
0,0,3,-80,5,7.5266
0,0,3,-80,6,7.5266
0,0,4,-80,2,1.8369
0,0,4,-80,3,1.6981
0,0,4,-80,4,7.5266
0,0,4,-80,5,7.5266
0,0,4,-80,6,7.5266
0,0,5,-80,2,3.4169
0,0,5,-80,3,1.5778
0,0,5,-80,4,2.5875
0,0,5,-80,5,7.5266
0,0,5,-80,6,7.5266
0,0,7,-80,2,4.5543
0,0,7,-80,3,3.9957
0,0,7,-80,4,3.2059
0,0,7,-80,5,1.2618
0,0,7,-80,6,1.9318
0,0,10,-80,2,3.756
0,0,10,-80,3,3.1724
0,0,10,-80,4,3.1809
0,0,10,-80,5,2.7882
0,0,10,-80,6,2.6056
0,0,2,-70,2,7.5266
0,0,2,-70,3,7.5266
0,0,2,-70,4,7.5266
0,0,2,-70,5,7.5266
0,0,2,-70,6,7.5266
0,0,3,-70,2,3.0797
0,0,3,-70,3,7.5266
0,0,3,-70,4,7.5266
0,0,3,-70,5,7.5266
0,0,3,-70,6,7.5266
0,0,4,-70,2,1.7521
0,0,4,-70,3,2.4811
0,0,4,-70,4,7.5266
0,0,4,-70,5,7.5266
0,0,4,-70,6,7.5266
0,0,5,-70,2,4.6199
0,0,5,-70,3,3.1789
0,0,5,-70,4,5.592
0,0,5,-70,5,7.5266
0,0,5,-70,6,7.5266
0,0,7,-70,2,2.0487
0,0,7,-70,3,2.7974
0,0,7,-70,4,3.8812
0,0,7,-70,5,1.3225
0,0,7,-70,6,7.5266
0,0,10,-70,2,7.5266
0,0,10,-70,3,7.5266
0,0,10,-70,4,7.5266
0,0,10,-70,5,7.5266
0,0,10,-70,6,7.5266
1,0,2,-100,2,7.5553
1,0,2,-100,3,7.5553
1,0,2,-100,4,7.5553
1,0,2,-100,5,7.5553
1,0,2,-100,6,7.5553
1,0,3,-100,2,1.2
1,0,3,-100,3,7.5553
1,0,3,-100,4,7.5553
1,0,3,-100,5,7.5553
1,0,3,-100,6,7.5553
1,0,4,-100,2,1.1638
1,0,4,-100,3,1.0937
1,0,4,-100,4,7.5553
1,0,4,-100,5,7.5553
1,0,4,-100,6,7.5553
1,0,5,-100,2,1.628
1,0,5,-100,3,1.4487
1,0,5,-100,4,0.95593
1,0,5,-100,5,7.5553
1,0,5,-100,6,7.5553
1,0,7,-100,2,2.0916
1,0,7,-100,3,1.7892
1,0,7,-100,4,1.4206
1,0,7,-100,5,1.606
1,0,7,-100,6,1.8727
1,0,10,-100,2,1.607
1,0,10,-100,3,1.6652
1,0,10,-100,4,1.7351
1,0,10,-100,5,1.4654
1,0,10,-100,6,1.3975
