building, floor, rgea, ap, loc, ips, threshold, bounds, chance, num_test, num_loc, median_error
0,0,3,0,0,1,-100,50,100,78,78,9.186
1,0,3,0,0,1,-100,50,100,30,30,9.9142
2,0,3,0,0,1,-100,50,100,24,24,14.719
0,1,3,0,0,1,-100,50,100,208,207,10.755
1,1,3,0,0,1,-100,50,100,143,142,14.246
2,1,3,0,0,1,-100,50,100,111,111,11.623
0,2,3,0,0,1,-100,50,100,165,165,13.455
1,2,3,0,0,1,-100,50,100,87,85,16.508
2,2,3,0,0,1,-100,50,100,54,54,16.738
0,3,3,0,0,1,-100,50,100,85,85,10.424
1,3,3,0,0,1,-100,50,100,47,47,10.216
2,3,3,0,0,1,-100,50,100,40,39,11.281
